ANDAR,NOME PARLAMENTAR | SETORES,SALA,RAMAIS,PRÉDIO
,ACRÍSIO SENA  ( SUPLENTE ),201,21806585/21806586,ANEXO I
,AGENOR NETO,321,2572/2503/2636/2601,ANEXO I
,ALCIDES FERNANDES,114,2593/2594/2668,ANEXO I
,ALMIR BIÉ          ( SUPLENTE ),508,2563/2641,ANEXO I
,ALYSSON AGUIAR,523,2595/2596/2867,ANEXO I
,ANTÔNIO HENRIQUE,503,25572833/2746,ANEXO I
,ANTÔNIO GRANJA   ( SUPLENTE ),306,2577/2576/2556,ANEXO I
,AP.LUIZ HENRIQUE ,509,2926/2925 /2927,ANEXO I
,BRUNO PREDROSA,512,2560/2561,ANEXO I
,CARMELO NETO,501,2901/2649/2902,ANEXO I
,CLÁUDIO PINHO,514,2930/2931/2639,ANEXO I
,DANNIEL OLIVEIRA    ( 1ºVICE-PRESIDENTE ),518,2645/2882/2644,ANEXO I
,DAVI DE RAIMUNDÃO,308,2777/3423/2894,ANEXO I
,DAVID DURAND ,309,2553/2555/2678,ANEXO I
,DE ASSIS DINIZ       ( 1ºSECRETÁRIO ),412,"2747/2530/2825/2815
2640/2686/2916",ANEXO I
,DRA. SILVANA,311,2870/2871/2872,ANEXO I
,EMÍLIA PESSOA,315,2781/2784,ANEXO I
,FELIPE MOTA       ( 3º SECRETÁRIO ),204,2822/2624/2502,ANEXO I
,FERNANDO HUGO,111,2527/2528,ANEXO I
,FERNANDO SANTANA       (  LICENÇA ),200,6552/6591,ANEXO I
,FIRMO CAMURÇA,305,2552/2659/2658,ANEXO I
,GUILHERME BISMARCK ( SUPLENTE ),303,21806501 / 21806580,ANEXO I
,GUILHERME LANDIM ,319,2920/2332/2919,ANEXO I
,GUILHERME SAMPAIO  ( SUPLENTE ),316,2970/2971/2950,ANEXO I
,HEITOR FÉRRER,304,2939/2940/2996,ANEXO I
,JEOVÁ MOTA  ( 2º SECRETÁRIO ),510,2795/2851 ,ANEXO I
,JÓ FARIAS,312,2743/2586,ANEXO I
,JOÃO JAIME     ( 4º SECRETÁRIO ),516,2566/2567,ANEXO I
,JULIANA LUCENA,317,2666/2602/2667,ANEXO I
,JÚLIO CÉSAR FILHO    ( LICENÇA ),522,2913/2875/2914/2662,ANEXO I
,LARISSA GASPAR    ( 2º VICE-PRESIDENTE ),205,2972/2973/2642/2588/2587,ANEXO I
,LEONARDO PINHEIRO,320,21806569/2548/2928/2826,ANEXO I
,LIA GOMES        ( LICENÇA ),520,6571/6572/2890,ANEXO I
,LUANA RÉGIA,405,2564/2886/2884,ANEXO I
,LUCÍLVIO GIRÃO,301,2674/2675,ANEXO I
,LUCINILDO FROTA,515,2584/2585,ANEXO I
,MARCOS SOBREIRA ,521,2794/2937/6563/2984,ANEXO I
,MARTA GONÇALVES,310,2569,ANEXO I
,MISSIAS DIAS,307,2653/2652,ANEXO I
,MOISÉS BRAZ                ( LICENÇA ),-,-,ANEXO I
,NIZO COSTA        ( SUPLENTE ),513,2650/2651/2570,ANEXO I
,ORIEL FILHO        ( LICENÇA ),202,2985,ANEXO I
,OSMAR BAQUIT       ( LICENÇA ),505,2953/2975/2808/2989/2553/2632,ANEXO I
,QUEIROZ FILHO,507,2741/2740,ANEXO I
,RENATO ROSENO,314,2792/2830/2831,ANEXO I
,ROMEU ALDIGUERI  ( PRESIDENTE ),409,"2809/2510/2524/2665/
2698/2518/2899",ANEXO I
,SALMITO ,506,2976/2977,ANEXO I
,SARGENTO REGINAURO,302,2995/2578,ANEXO I
,SÉRGIO AGUIAR,519,2511/2979/2978/2820,ANEXO I
,SIMÃO PEDRO,313,2621/3803/2597,ANEXO I
,STUART CASTRO,112,2655/2598/2654,ANEXO I
,TIN GOMES              ( SUPLENTE ),113,2558/2559/2640,ANEXO I
,ZEZINHO ALBUQUERQUE - ( LICENÇA ),322,2517/2722/2933/2806,ANEXO I
,,,,
,SETORES,SALA,RAMAIS,PRÉDIO
1º Piso,1ª CIA /CBC. CEL. QOBM. Leandro Silva Nogueira ,108,3277-2935,ANEXO I
1º Piso,2ª CPG – Ten. CEL. PM. Marcus Túlio Moreira Prudêncio,107,3277-2515 / 3277-2514,ANEXO I
1º Piso,ASSESSORIA JURÍDICA ESPECIAL DA DIRETORIA GERAL ,"

118","
3277-2911/3277-2896
3277-2897",ANEXO I
1º Piso,Dr. Lindolfo Cordeiro ,,,ANEXO I
1º Piso,Dr. José Leite ,,,ANEXO I
1º Piso,BANCO BRADESCO,,,ANEXO I
1º Piso,CÉLULA DE EXPEDIENTE LEGISLATIVO Bebeto,,3277-2626/3277-2717,ANEXO I
1º Piso,CENTRAL DE TELEFONE E SOM – Rogério Antônio,,"3277-2845/3277-2910
3277-2865",ANEXO I
1º Piso,COMITÊ DE IMPRENSA – Macário Batista,116,3277-2849 / 32772850 / 3277-2731,ANEXO I
1º Piso,DEPARTAMENTO LEGISLATIVO – Carlos Alberto Aragão,212,3277-2718/3277-2738,ANEXO I
1º Piso,EX-PARLAMENTARES,115,3277-2854,ANEXO I
1º Piso,MEMORIAL PONTES NETO – Paulo Roberto de C. Nunes,115,3277-3727 / 3277-3700,ANEXO I
1º Piso,NÚCLEO DE ALMOXARIFADO - Benedita Martins,106,3277-2863,ANEXO I
1º Piso,NÚCLEO DE CONTROLE DE ACESSO (FUNCIONÁRIOS) Mílton,,3277-2862,ANEXO I
1º Piso,NÚCLEO DE CONTROLE DE ACESSO (PARLAMENTAR),,3277-2620,ANEXO I
1º Piso,NÚCLEO DE CONTROLE DE ACESSO (PRINCIPAL) ,,3277-2573,ANEXO I
1º Piso,NÚCLEO DE PROTOCOLO – Isabelle Alves Alencar,109,3277-2619 / 3277-2798,ANEXO I
1º Piso,NÚCLEO DE REPROGRAFIA – Sidney,110,3277-2622,ANEXO I
1º Piso,NÚCLEO DE TELEFONIA – Lorelei Souto,117,3277-2500 / 3277-2900,ANEXO I
1º Piso,NÚCLEO DE TRANSPORTE – Fernando Coelho Pinto,,3277-2969,ANEXO I
1º Piso,SALA DOS MOTORISTAS,,3277-2844,ANEXO I
1º Piso,"RÁDIO ASSEMBLEIA
E-mail: fmassembleia@al.ce.gov.br",,,
1º Piso,GERENTE GERAL RÁDIO - Lúcio Flávio Arruda Pontes Filho,,3272-7836,ANEXO I
1º Piso,RECEPÇÃO – RÁDIO,,3277-3796,ANEXO I
,,,,
"
2° Piso","CÉLULA DE SUSTENTABILIDADE E GESTÃO AMBIENTAL
Conceição Machado",,3277-2868/3277-2869,ANEXO I
"
2° Piso",CÉLULA DE CONSULTORIA TÉCNICA LEGISLATIVA (CTLEGIS) Erliene Vale,,3277-2750/3277-3799,ANEXO I
,,,,
"

3° Piso","ASSESSORIA JURÍDICA E DE RELAÇÕES INSTITUCIONAIS DA PRESIDÊNCIA Cássio Felipe Goês Pacheco
SECRETARIA – Vilma Galvão ","
318","3277-2581
3277-2633/3277-2663",ANEXO I
"

3° Piso",FRENTE PARLAMENTAR DA MULHER,,32772749,ANEXO I
,,,,
